end_station_name,casual_user,member_user
Streeter Dr & Grand Ave,57488,14534
DuSable Lake Shore Dr & Monroe St,28456,9914
Millennium Park,25752,7952
Michigan Ave & Oak St,25255,12777
DuSable Lake Shore Dr & North Blvd,25099,15069
Theater on the Lake,18551,12872
Shedd Aquarium,17989,5136
Wells St & Concord Ln,14315,20255
Clark St & Armitage Ave,12979,13997
Clark St & Lincoln Ave,12840,12552
Dusable Harbor,12730,5369
Indiana Ave & Roosevelt Rd,11896,12435
Montrose Harbor,11407,7140
Wabash Ave & Grand Ave,11359,14107
Clark St & Elm St,11305,20874
Clark St & Newport St,10987,10303
Sheffield Ave & Waveland Ave,10833,10523
Wells St & Elm St,10825,17391
Broadway & Barry Ave,10784,16477
Michigan Ave & Washington St,10695,11928
LaSalle St & Illinois St,10213,11960
Adler Planetarium,10119,4429
Wilton Ave & Belmont Ave,9910,14511
DuSable Lake Shore Dr & Diversey Pkwy,9621,11010
DuSable Lake Shore Dr & Belmont Ave,9617,9108
Michigan Ave & 8th St,9616,4930
Clark St & Wrightwood Ave,9597,14008
McClurg Ct & Ohio St,9372,9727
Michigan Ave & Lake St,9298,11110
Larrabee St & Webster Ave,9198,11737
Lakeview Ave & Fullerton Pkwy,9143,11295
Dearborn St & Erie St,9003,15769
Damen Ave & Pierce Ave,8830,10935
New St & Illinois St,8826,11115
Wells St & Evergreen Ave,8740,10497
Halsted St & Roscoe St,8678,10909
DuSable Lake Shore Dr & Wellington Ave,8460,9882
Wells St & Huron St,8422,14629
St. Clair St & Erie St,8275,15628
Fairbanks Ct & Grand Ave,8232,10157
Ashland Ave & Division St,8037,13383
Clark St & Drummond Pl,7848,13486
Lincoln Ave & Fullerton Ave,7794,11149
Wabash Ave & Roosevelt Rd,7741,12662
Southport Ave & Roscoe St,7681,11501
State St & Randolph St,7537,10252
Broadway & Cornelia Ave,7463,11835
Halsted St & Wrightwood Ave,7418,11555
Michigan Ave & Jackson Blvd,7357,4350
Wells St & Hubbard St,7301,14473
Sheffield Ave & Fullerton Ave,7276,14273
Dearborn Pkwy & Delaware Pl,7233,12873
Kingsbury St & Kinzie St,7186,23179
Green St & Madison St,7147,14550
Southport Ave & Waveland Ave,7040,10526
Pine Grove Ave & Waveland Ave,7001,10618
Sheffield Ave & Wrightwood Ave,6981,8956
Broadway & Waveland Ave,6869,12893
Clark St & Schiller St,6831,11329
Rush St & Cedar St,6810,9251
Wabash Ave & Wacker Pl,6808,4896
Lincoln Park Conservatory,6737,4902
Sheffield Ave & Wellington Ave,6592,9897
Sheffield Ave & Webster Ave,6513,9874
Clark St & Wellington Ave,6504,9707
Clinton St & Madison St,6481,18415
Stockton Dr & Wrightwood Ave,6366,8757
Broadway & Belmont Ave,6338,9238
Halsted St & Clybourn Ave,6284,12348
Halsted St & Dickens Ave,6106,9354
Kedzie Ave & Milwaukee Ave,6094,6328
Clark St & North Ave,6081,6175
Sedgwick St & North Ave,6043,8907
Lakefront Trail & Bryn Mawr Ave,5869,6947
Racine Ave & Belmont Ave,5786,7310
Mies van der Rohe Way & Chestnut St,5764,8711
State St & Chicago Ave,5757,11161
Columbus Dr & Randolph St,5752,9222
State St & Kinzie St,5733,9134
Federal St & Polk St,5680,11018
Clark St & Grace St,5612,6788
Wabash Ave & 9th St,5610,8264
Wilton Ave & Diversey Pkwy,5572,9832
Wood St & Milwaukee Ave,5565,8039
Desplaines St & Kinzie St,5489,12763
Sheridan Rd & Irving Park Rd,5484,10671
Field Museum,5450,1728
Franklin St & Jackson Blvd,5432,10650
Southport Ave & Wrightwood Ave,5408,6122
Michigan Ave & Pearson St,5358,4573
California Ave & Milwaukee Ave,5336,5830
Clark St & Winnemac Ave,5332,8075
Damen Ave & Cortland St,5326,6055
Clark St & Lake St,5247,9241
Pine Grove Ave & Irving Park Rd,5216,8476
Buckingham Fountain,5204,981
Sedgwick St & Webster Ave,5202,8167
Milwaukee Ave & Grand Ave,5178,8371
Wentworth Ave & Cermak Rd,5173,4830
Rush St & Superior St,5117,9271
Field Blvd & South Water St,5088,6239
Lincoln Ave & Diversey Pkwy,5036,9182
Greenview Ave & Fullerton Ave,5023,7410
Franklin St & Illinois St,5012,8139
University Ave & 57th St,4944,18318
Mies van der Rohe Way & Chicago Ave,4937,9184
Burling St & Diversey Pkwy,4914,9104
Ritchie Ct & Banks St,4837,6797
Cityfront Plaza Dr & Pioneer Ct,4836,5628
Broadway & Sheridan Rd,4813,8565
Sheridan Rd & Montrose Ave,4807,8842
Dearborn St & Monroe St,4792,11578
Kingsbury St & Erie St,4756,11213
LaSalle Dr & Huron St,4753,6385
Southport Ave & Wellington Ave,4735,7335
Canal St & Adams St,4721,14447
Green St & Randolph St*,4703,4909
Franklin St & Chicago Ave,4686,9884
Peoria St & Jackson Blvd,4636,11345
Bissell St & Armitage Ave*,4603,6432
Michigan Ave & Ida B Wells Dr,4562,2666
Clinton St & Washington Blvd,4534,19261
Burnham Harbor,4521,5560
Michigan Ave & Madison St,4515,5437
Shore Dr & 55th St,4504,6205
Honore St & Division St,4472,6035
Clinton St & Lake St,4357,12426
Clinton St & Jackson Blvd,4353,12275
Franklin St & Lake St,4340,9153
Southport Ave & Belmont Ave,4334,6775
McClurg Ct & Erie St,4331,10109
Milwaukee Ave & Wabansia Ave,4328,6920
Kimbark Ave & 53rd St,4327,9543
Clark St & Berwyn Ave,4295,6292
Fort Dearborn Dr & 31st St,4250,3942
Michigan Ave & 14th St,4249,6984
Ellis Ave & 60th St,4245,16973
Sheffield Ave & Kingsbury St,4245,8649
Stetson Ave & South Water St,4208,5919
Daley Center Plaza,4199,10178
Morgan St & Lake St,4186,6126
Ravenswood Ave & Lawrence Ave,4100,9432
Lakefront Trail & Wilson Ave,4074,4155
McCormick Place,4071,1534
Orleans St & Merchandise Mart Plaza,4066,10425
Southport Ave & Clybourn Ave,4024,6128
Ogden Ave & Chicago Ave,4012,6862
Damen Ave & Chicago Ave,3986,6623
Clark St & Chicago Ave,3962,6437
Cannon Dr & Fullerton Ave,3908,2440
Clarendon Ave & Junior Ter,3887,6972
Larrabee St & Kingsbury St,3852,13169
Wabash Ave & Adams St,3779,5609
Larrabee St & Division St,3762,6705
Sheffield Ave & Willow St,3746,7114
Western Ave & Winnebago Ave,3741,5234
Clark St & Randolph St,3728,10258
Canal St & Madison St,3716,10104
Desplaines St & Randolph St,3636,6578
Dayton St & North Ave,3632,6809
Clarendon Ave & Gordon Ter,3627,8468
Racine Ave & Fullerton Ave,3589,8962
Aberdeen St & Randolph St,3563,6994
State St & Harrison St,3537,3174
Clifton Ave & Armitage Ave,3524,6494
Damen Ave & Division St,3521,5375
Rush St & Hubbard St,3470,5625
Calumet Ave & 18th St,3367,5185
Franklin St & Adams St (Temp),3355,5623
Halsted St & Willow St,3316,7623
Michigan Ave & 18th St,3297,5760
Paulina Ave & North Ave,3293,4683
Halsted St & Maxwell St,3278,6719
Franklin St & Monroe St,3259,9617
Ellis Ave & 55th St,3251,13860
Ashland Ave & Blackhawk St,3246,5804
Eckhart Park,3244,5139
Broadway & Wilson - Truman College Vaccination Site,3243,5622
Elston Ave & Cortland St,3185,4993
Sangamon St & Lake St,3185,4409
Aberdeen St & Jackson Blvd,3162,7693
Carpenter St & Huron St,3138,5707
Larrabee St & Armitage Ave,3107,5260
Western Ave & Walton St,3104,3676
Marine Dr & Ainslie St,3102,3806
Wells St & Polk St,3079,6359
Ogden Ave & Race Ave,3051,6057
Racine Ave & Wrightwood Ave,3031,4369
State St & Van Buren St,3028,5503
Clark St & Bryn Mawr Ave,3003,4876
Orleans St & Chestnut St (NEXT Apts),2988,5160
Sedgwick St & Huron St,2951,6894
Clinton St & Roosevelt Rd,2942,5375
Clark St & Leland Ave,2937,5571
Canal St & Monroe St,2933,8271
California Ave & Cortez St,2911,3145
Ada St & Washington Blvd,2910,4821
Dearborn St & Adams St,2887,5994
Wells St & Walton St,2871,5762
Broadway & Argyle St,2862,5154
900 W Harrison St,2837,8033
Canal St & Jackson Blvd,2819,7245
LaSalle St & Jackson Blvd,2816,9957
Greenview Ave & Diversey Pkwy,2814,3576
Ashland Ave & Grace St,2812,3724
Wabash Ave & 16th St,2803,4867
Ashland Ave & Wrightwood Ave,2789,3485
Broadway & Granville Ave,2757,4109
Damen Ave & Charleston St,2742,2924
Delano Ct & Roosevelt Rd,2736,4097
Sangamon St & Washington Blvd,2726,5957
Broadway & Thorndale Ave,2717,4154
Sheridan Rd & Buena Ave,2713,5727
Museum of Science and Industry,2711,1511
Lake Park Ave & 53rd St,2696,3804
Larrabee St & North Ave,2686,3721
Loomis St & Lexington St,2674,17797
Desplaines St & Jackson Blvd,2671,8146
Cornell Ave & Hyde Park Blvd,2634,4308
Dearborn St & Van Buren St,2620,3612
May St & Taylor St,2594,9838
Western Ave & Leland Ave,2572,4593
Clarendon Ave & Leland Ave,2571,4212
Noble St & Milwaukee Ave,2545,5057
Broadway & Berwyn Ave,2544,5185
Calumet Ave & 21st St,2530,1544
Bissell St & Armitage Ave,2514,4543
Orleans St & Hubbard St,2501,5589
Winthrop Ave & Lawrence Ave,2475,3530
Leavitt St & North Ave,2474,3390
Wood St & Chicago Ave,2467,4335
LaSalle St & Washington St,2463,5961
Walsh Park,2460,4316
Logan Blvd & Elston Ave,2458,3271
Southport Ave & Irving Park Rd,2452,4937
Lincoln Ave & Roscoe St*,2452,4001
Campbell Ave & North Ave,2435,3192
Halsted St & Polk St,2424,12288
Racine Ave & 18th St,2424,4272
Aberdeen St & Monroe St,2410,6986
Damen Ave & Thomas St (Augusta Blvd),2403,4037
Blue Island Ave & 18th St,2392,3445
Chicago Ave & Sheridan Rd,2374,2076
Wacker Dr & Washington St,2352,6053
Clark St & Montrose Ave,2327,3428
Seeley Ave & Roscoe St,2307,3502
Damen Ave & Wellington Ave,2280,2374
Sheridan Rd & Lawrence Ave,2273,3896
Spaulding Ave & Armitage Ave,2258,2379
Morgan St & 18th St,2257,3304
Humboldt Blvd & Armitage Ave,2257,2382
State St & Pearson St,2240,4686
Morgan St & Polk St,2229,12123
Sheridan Rd & Noyes St (NU),2226,2941
N Green St & W Lake St,2225,2890
Canal St & Taylor St,2204,4451
Woodlawn Ave & 55th St,2193,5209
California Ave & Division St,2171,2165
Leavitt St & Armitage Ave,2162,2879
Ashland Ave & Grand Ave,2154,3499
Western Ave & Division St,2146,2343
Leavitt St & Chicago Ave,2140,2481
Ashland Ave & Lake St,2138,2432
Morgan St & Lake St*,2128,2822
Broadway & Ridge Ave,2127,4412
Jefferson St & Monroe St,2120,5567
Fairbanks St & Superior St,2100,5549
Lake Park Ave & 56th St,2092,4753
Ashland Ave & Wellington Ave,2074,4251
Lincoln Ave & Belmont Ave (Temp),2068,3170
Green St & Randolph St,2062,2995
Lincoln Ave & Belle Plaine Ave,1993,3521
Lincoln Ave & Sunnyside Ave,1989,3378
Benson Ave & Church St,1987,2770
Leavitt St & Belmont Ave,1972,2244
Ashland Ave & Chicago Ave,1970,3975
Wabash Ave & Cermak Rd,1959,1601
Clybourn Ave & Division St,1945,5023
Wolcott (Ravenswood) Ave & Montrose Ave,1945,3008
California Ave & North Ave,1920,2520
California Ave & Fletcher St,1907,1711
Clark St & 9th St (AMLI),1904,3209
Ravenswood Ave & Irving Park Rd,1895,3422
Sheridan Rd & Loyola Ave,1893,2389
Sedgwick St & Schiller St,1888,2318
Paulina St & 18th St,1847,2777
Racine Ave & Randolph St,1834,3385
California Ave & Francis Pl (Temp),1832,2238
Milwaukee Ave & Rockwell St,1827,2345
Ashland Ave & Augusta Blvd,1819,4526
Damen Ave & Grand Ave,1810,3370
Ellis Ave & 58th St,1798,7501
Financial Pl & Ida B Wells Dr,1771,5054
Wood St & Augusta Blvd,1757,3412
Albany Ave & Bloomingdale Ave,1751,2352
Larrabee St & Oak St,1743,5391
Damen Ave & Melrose Ave,1737,1918
Throop St & Taylor St,1731,5549
Kedzie Ave & Palmer Ct,1716,2094
LaSalle St & Adams St,1706,2916
Damen Ave & Foster Ave,1704,2439
Loomis St & Jackson Blvd,1693,4184
Larrabee St & Menomonee St,1672,3715
Stave St & Armitage Ave,1641,2452
Orleans St & Elm St,1622,3084
Damen Ave & Clybourn Ave,1612,2872
Damen Ave & Leland Ave,1596,3151
Ashland Ave & Belle Plaine Ave,1588,1482
Racine Ave & Washington Blvd,1581,3439
Central Park Ave & Bloomingdale Ave,1579,1457
Campbell Ave & Fullerton Ave,1563,1640
Green St & Washington Blvd,1532,1790
Lincoln Ave & Waveland Ave,1520,2897
California Ave & Altgeld St,1520,1999
Clark St & Ida B Wells Dr,1516,4181
Halsted St & Roosevelt Rd,1504,6091
Glenwood Ave & Morse Ave,1487,2700
Elizabeth (May) St & Fulton St,1478,3394
Buckingham Fountain (Temp),1453,699
MLK Jr Dr & 29th St,1437,6417
Troy St & North Ave,1433,1435
St. Louis Ave & Fullerton Ave,1422,1785
Wood St & Hubbard St,1419,2566
Lincoln Ave & Addison St,1416,1995
Damen Ave & Cullerton St,1412,1538
Elston Ave & Wabansia Ave,1396,1920
Blackstone Ave & Hyde Park Blvd,1395,2547
State St & 33rd St,1364,11582
Damen Ave & Madison St,1342,1441
Leavitt St & Division St,1324,2461
Damen Ave & Walnut (Lake) St,1307,1775
Richmond St & Diversey Ave,1297,1533
Ravenswood Ave & Berteau Ave,1286,2523
Halsted St & 18th St,1281,2167
Emerald Ave & 31st St,1268,4911
Kosciuszko Park,1262,1250
Clinton St & Tilden St,1257,2703
Lake Park Ave & 35th St,1245,1193
Chicago Ave & Washington St,1235,1650
Wells St & 19th St,1233,1062
Paulina St & Montrose Ave,1231,2314
Talman Ave & Addison St,1231,1906
Paulina St & Flournoy St,1225,7289
Winchester Ave & Elston Ave,1221,2360
Clark St & Elmdale Ave,1220,2008
Sheridan Rd & Argyle St,1215,1693
Damen Ave & Sunnyside Ave,1204,2156
Sheridan Rd & Columbia Ave,1204,2096
Central Park Ave & Elbridge Ave,1191,1325
Morgan Ave & 14th Pl,1190,3420
Clinton St & 18th St,1183,1901
Racine Ave & Congress Pkwy,1180,5347
University Library (NU),1178,1643
Lincoln Ave & Roscoe St,1175,2504
State St & 19th St,1167,1463
Leavitt St & Addison St,1163,1782
Laflin St & Cullerton St,1159,1756
California Ave & Montrose Ave,1145,1950
Racine Ave & 15th St,1136,1764
Western Ave & Roscoe St,1112,2147
Claremont Ave & Hirsch St,1086,1565
Avers Ave & Belmont Ave,1079,966
Ellis Ave & 53rd St,1076,4111
May St & Cullerton St,1066,1568
Troy St & Elston Ave,1050,1320
Southport Ave & Clark St,1046,1776
Morgan St & 31st St,1039,2291
Clark St & Schreiber Ave,1032,2023
W Oakdale Ave & N Broadway,1013,965
California Ave & Byron St,1004,1288
Lake Park Ave & 47th St,1000,1341
Milwaukee Ave & Fullerton Ave,997,932
Wolcott Ave & Polk St,984,8616
Wentworth Ave & 24th St (Temp),974,1293
Spaulding Ave & Division St,964,1304
Western Ave & Congress Pkwy,963,2705
Hampden Ct & Diversey Ave,963,1492
Lincoln Ave & Winona St,951,1494
Rockwell St & Eastwood Ave,942,2110
Sheridan Rd & Greenleaf Ave,942,1003
Harper Ave & 59th St,928,3904
Rhodes Ave & 32nd St,919,3483
Oakley Ave & Irving Park Rd,917,1615
Leavitt St & Lawrence Ave,915,1624
Kimball Ave & Belmont Ave,914,999
Clark St & Lunt Ave,913,1859
Greenview Ave & Jarvis Ave,904,2212
Halsted St & 35th St,893,1562
Washtenaw Ave & Lawrence Ave,892,1814
State St & 35th St,889,3904
Racine Ave & Fullerton Ave (Temp),880,2370
Lincoln Ave & Belmont Ave,876,2476
Wood St & Taylor St (Temp),863,5261
Calumet Ave & 33rd St,857,6174
Halsted St & Archer Ave,828,1453
Damen Ave & Wabansia Ave,818,1018
Wilton Ave & Diversey Pkwy*,812,1170
Halsted St & 21st St,807,1162
Smith Park,802,1165
Western Ave & Fillmore St,801,4713
Indiana Ave & 26th St,800,1587
Hoyne Ave & Balmoral Ave,786,1347
Ogden Ave & Congress Pkwy,783,2246
Central Park Ave & North Ave,775,539
Artesian Ave & Hubbard St,771,1905
Winchester (Ravenswood) Ave & Balmoral Ave,769,1450
Clark St & Columbia Ave,765,1386
Greenwood Ave & 47th St,751,1039
Christiana Ave & Lawrence Ave,750,1114
Wentworth Ave & 35th St,749,921
Campbell Ave & Montrose Ave,748,2118
Cottage Grove Ave & Oakwood Blvd,728,360
Canal St & Harrison St,714,1729
Paulina St & Howard St,708,1640
Albany Ave & Montrose Ave,705,1242
Wentworth Ave & 33rd St,703,2207
Francisco Ave & Foster Ave,698,1522
W Armitage Ave & N Sheffield Ave,686,911
Keystone Ave & Fullerton Ave,686,455
Eastlake Ter & Rogers Ave,675,1114
Western Ave & Monroe St,674,1419
Avondale Ave & Irving Park Rd,673,797
Malcolm X College Vaccination Site,665,705
Monticello Ave & Irving Park Rd,663,675
Indiana Ave & 31st St,660,2929
Hermitage Ave & Polk St,653,4609
Kedzie Ave & Leland Ave,646,950
Cottage Grove Ave & 51st St,630,666
Emerald Ave & 28th St,627,2003
Cherry Ave & Blackhawk St,619,1427
Shields Ave & 31st St,583,3254
Western Ave & 21st St,581,837
Rockwell St & Fletcher St,580,501
MLK Jr Dr & Pershing Rd,572,532
Western Ave & Granville Ave,556,718
Cottage Grove Ave & 63rd St,554,549
South Shore Dr & 71st St,550,816
Kedzie Ave & Foster Ave,544,558
Halsted St & North Branch St,543,1151
Cottage Grove Ave & 47th St,543,773
Warren Park West,542,575
Wallace St & 35th St,538,1274
Loomis St & Archer Ave,535,840
Prairie Ave & Garfield Blvd,534,651
Calumet Ave & 35th St,519,1791
Drake Ave & Montrose Ave,519,818
Manor Ave & Leland Ave,518,1234
Drake Ave & Addison St,514,600
Woodlawn Ave & Lake Park Ave,513,738
Ashland Ave & 13th St,499,2945
63rd St Beach,495,375
Glenwood Ave & Touhy Ave,493,1416
Ogden Ave & Roosevelt Rd,492,1229
California Ave & 21st St,490,675
South Shore Dr & 67th St,490,508
Evanston Civic Center,485,628
Shields Ave & 28th Pl,484,2033
Bernard St & Elston Ave,481,1120
Budlong Woods Library,472,535
Broadway & Wilson Ave,470,1089
Central St Metra,469,677
Kedzie Ave & Chicago Ave,465,442
Sawyer Ave & Irving Park Rd,453,543
Conservatory Dr & Lake St,453,287
Elston Ave & George St,451,483
Western Ave & Lunt Ave,447,1002
Dorchester Ave & 63rd St,447,259
Kedzie Ave & Bryn Mawr Ave,446,578
N Sheffield Ave & W Wellington Ave,446,553
Wood St & Webster Ave,444,493
Keystone Ave & Montrose Ave,443,518
N Carpenter St & W Lake St,435,1233
Racine Ave & 13th St,431,482
Knox Ave & Montrose Ave,425,462
Clark St & Touhy Ave,424,495
Central St & Girard Ave,421,694
Elmwood Ave & Austin St,413,656
Racine Ave & 35th St,410,742
Leavitt St & Archer Ave,408,322
Western Ave & Howard St,403,636
Cottage Grove Ave & 43rd St,402,748
Prairie Ave & 43rd St,401,338
Wood St & 35th St,393,427
Clinton St & Polk St,392,725
Burnham Greenway & 112th St,385,104
Washtenaw Ave & Ogden Ave,384,534
Milwaukee Ave & Cuyler Ave,375,309
2112 W Peterson Ave,374,540
Dorchester Ave & 49th St,372,535
Central Park Ave & Ogden Ave,369,282
Ashland Ave & Archer Ave,367,768
California Ave & Lake St,366,357
Pulaski Rd & Eddy St (Temp),366,252
Warren Park East,364,601
Valli Produce - Evanston Plaza,361,378
Troy St & Grace St,358,244
Jeffery Blvd & 67th St,355,135
Maplewood Ave & Peterson Ave,349,363
Calumet Ave & 51st St,346,457
DuSable Museum,339,687
Francisco Ave & Montrose Ave,339,400
Western Ave & Grace St,338,370
MLK Jr Dr & 47th St,326,190
St. Louis Ave & Balmoral Ave,325,443
Damen Ave & Coulter St,319,421
Normal Ave & Archer Ave,317,775
Western Ave & 24th St,315,629
Ridge Blvd & Touhy Ave,306,378
Elizabeth St & Fulton St,305,714
Long & Irving Park,305,211
Dodge Ave & Church St,304,575
N Southport Ave & W Newport Ave,299,327
Lincolnwood Dr & Central St,295,299
State St & 95th St,295,181
Sacramento Blvd & Addison St,293,173
Jeffery Blvd & 71st St,292,202
State St & 29th St,288,861
Kedzie Ave & Lake St,286,378
